flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
fi_34613,4003,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34612,4002,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34659,4030,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34649_2,4021,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34619,4008,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34644,4024,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34639,4018,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34631,4016,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34646,4025,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34632,4017,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_3103_11,4012,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34611,4001,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34651,4007,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34615,4004,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34642,4022,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34643,4023,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_3462,4014,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fn_47,4011,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_3102_50 ,4005,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34645,4027,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34616,4006,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_3103_19,4013,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_34649_1,4026,bonsai_v2_0,faostat,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
