flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
fi,200,bonsai_v2_0,eb02,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_6,205,bonsai_v2_0,eb02,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_64231,206,bonsai_v2_0,eb02,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_64239,207,bonsai_v2_0,eb02,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_64239,207,bonsai_v2_0,eb02,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_6521,208,bonsai_v2_0,eb02,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_66022,208,bonsai_v2_0,eb02,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_67511,209,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_67521,209,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_67531,209,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_6759,209,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_642,210,bonsai_v2_0,eb02,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_64134,211,bonsai_v2_0,eb02,ambiguous many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_6424,211,bonsai_v2_0,eb02,ambiguous many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_66031,211,bonsai_v2_0,eb02,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_6531,212,bonsai_v2_0,eb02,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_66032,212,bonsai_v2_0,eb02,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_6761,213,bonsai_v2_0,eb02,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
fi_6762,213,bonsai_v2_0,eb02,ambiguous many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_6763,213,bonsai_v2_0,eb02,ambiguous many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_65229,214,bonsai_v2_0,eb02,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_66031,215,bonsai_v2_0,eb02,ambiguous one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_651,216,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_652,216,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_6761,217,bonsai_v2_0,eb02,ambiguous one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
fi_6425,218,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_6532,218,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_6764,218,bonsai_v2_0,eb02,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
fi_642,219,bonsai_v2_0,eb02,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
